Year,Month,Day,Title,validate
2018,8,31,"Even after Grenfell, tower block residents are being ignored; The tragedy motivated me to become a councillor, yet my Tory counterparts are still failing to listen to those they serve",
2018,11,1,Subsidised tenants are excluded from pool and gym in London block; Residents in affordable homes at Royal Wharf in Newham say they are victims of segregation,
2018,11,1,Excluded tenants gain access to gym and pool in London complex; Luxury block Royal Wharf reverses decision that kept subsidised tenants from its facilities,1
2018,11,21,"How can we ensure that regeneration schemes address an area's problems rather than mask them?; In this series Poppy Noor discusses an issue concerning how we can build happy, well-run communities. But what do you think? Send us your thoughts and responses",
2019,1,4,"Benefit cap: single mothers make up 85% of those affected, data shows; DWP records show 134,044 households had support capped, with single mothers accounting for 114,337",
2018,6,20,"Council housing: it's back, it's booming - and this time it's beautiful; Tiled stairwells, lush balconies, curvy roofs and coloured bricks - after a four-decade hiatus, council housing is sweeping Britain, with quality and design now a priority",
2019,8,14,Londoners win battle with council to save homes from demolition; U-turn by Tower Hamlets lauded a victory against social cleansing in the capital,1
2019,8,22,"We need social housing, not warehouses, for homeless kids; Parking familes in temporary 'human warehouses', as reported by the children's commissioner, is storing up problems",
2019,9,19,Balfron 2.0: how Goldfinger's utopian tower became luxury flats; The selloff of Erno Goldfinger's landmark building in Poplar is a central element of a new plan to transform London's East End,
2019,10,31,Corbyn's super-rich targets: who are they and what could he do?; Labour leader names Mike Ashley and Rupert Murdoch among business figures he would target as PM,
2019,11,28,Has Boris Johnson really been opposed to austerity since 2010?; He warned against cuts in London when he was mayor but has consistently voted in support of austerity policiesGeneral election live - latest news,
2020,5,22,A Kafkaesque nightmare': the survival guide helping condemned estates beat the bulldozers; It has been called 'one of the finest council estates in the country'. So why is Cressingham Gardens facing demolition? We report on the free book helping communities fight back,1
2020,6,25,"Dystopia or utopia? The future of cities could go either way; Cities are always changing, but rarely as fast as this huge experiment changing how we all live, for better or worse",
2020,7,1,English councils breaking law in 'secretly' relocating homeless people; Many do not notify new local authority and flout guidance to keep people in neighbourhoods,1
