"","borough","year","leader","clerk","control","seats.labour","seats.other","seats.tory","seats.libdem","plabour","clabour"
"265","Bromley",2008,"Stephen Carr","Doug Patterson","Conservative",4,0,49,7,0.0666666666666667,0
"266","Bromley",2009,"Stephen Carr","Doug Patterson","Conservative",4,1,49,7,0.0655737704918033,0
"267","Bromley",2010,"Stephen Carr","Doug Patterson","Conservative",3,1,52,4,0.05,0
"268","Bromley",2011,"Stephen Carr","Doug Patterson","Conservative",3,1,52,4,0.05,0
"269","Bromley",2012,"Stephen Carr","Doug Patterson","Conservative",3,0,53,4,0.05,0
"270","Bromley",2013,"Stephen Carr","Doug Patterson","Conservative",3,0,53,4,0.05,0
"271","Bromley",2014,"Stephen Carr","Doug Patterson","Conservative",7,2,51,0,0.116666666666667,0
"272","Bromley",2015,"Stephen Carr","Doug Patterson","Conservative",7,2,51,0,0.116666666666667,0
"273","Bromley",2016,"Stephen Carr","Doug Patterson","Conservative",7,2,51,0,0.116666666666667,0
"274","Bromley",2017,"Stephen Carr","Doug Patterson","Conservative",7,2,51,0,0.116666666666667,0
"275","Bromley",2018,"Colin Smith","Ade Adetosoye","Conservative",8,2,50,0,0.133333333333333,0
"276","Camden",1964,"C J Ratchford","Brian Wilson","Labour",34,0,26,0,0.566666666666667,1
"277","Camden",1965,"C J Ratchford","Brian Wilson","Labour",34,0,26,0,0.566666666666667,1
"278","Camden",1966,"C J Ratchford","Brian Wilson","Labour",34,0,26,0,0.566666666666667,1
"279","Camden",1967,"C J Ratchford","Brian Wilson","Labour",34,0,26,0,0.566666666666667,1
"280","Camden",1968,"Geoffrey Finsberg","Brian Wilson","Conservative",18,0,42,0,0.3,0
"281","Camden",1969,"Geoffrey Finsberg","Brian Wilson","Conservative",18,0,42,0,0.3,0
"282","Camden",1970,"Martin Morton","Brian Wilson","Conservative",18,0,42,0,0.3,0
"283","Camden",1971,"Millie Miller","Brian Wilson","Labour",49,0,11,0,0.816666666666667,1
"284","Camden",1972,"Millie Miller","Brian Wilson","Labour",49,0,11,0,0.816666666666667,1
"285","Camden",1973,"Frank Dobson","Brian Wilson","Labour",49,0,11,0,0.816666666666667,1
"286","Camden",1974,"Frank Dobson","Brian Wilson","Labour",48,0,12,0,0.8,1
"287","Camden",1975,"Roy Shaw","Brian Wilson","Labour",48,0,12,0,0.8,1
"288","Camden",1976,"Roy Shaw","Brian Wilson","Labour",48,0,12,0,0.8,1
"289","Camden",1977,"Roy Shaw","Brian Wilson","Labour",48,0,12,0,0.8,1
"290","Camden",1978,"Roy Shaw","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"291","Camden",1979,"Roy Shaw","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"292","Camden",1980,"Roy Shaw","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"293","Camden",1981,"Roy Shaw","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"294","Camden",1982,"Phil Turner","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"295","Camden",1983,"Phil Turner","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"296","Camden",1984,"Phil Turner","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"297","Camden",1985,"Phil Turner","Frank Nickson","Labour",33,0,26,0,0.559322033898305,1
"298","Camden",1986,"Anthony Dykes","Frank Nickson","Labour",44,0,13,2,0.745762711864407,1
"299","Camden",1987,"Anthony Dykes","Frank Nickson","Labour",44,0,13,2,0.745762711864407,1
"300","Camden",1988,"Anthony Dykes","Frank Nickson","Labour",44,0,13,2,0.745762711864407,1
"301","Camden",1989,"Anthony Dykes","Frank Nickson","Labour",44,0,13,2,0.745762711864407,1
"302","Camden",1990,"Julie Fitzgerald","Jeremy Smith","Labour",42,0,15,2,0.711864406779661,1
"303","Camden",1991,"Julie Fitzgerald","Jeremy Smith","Labour",42,0,15,2,0.711864406779661,1
"304","Camden",1992,"Julie Fitzgerald","Jeremy Smith","Labour",42,0,15,2,0.711864406779661,1
"305","Camden",1993,"Richard Arthur","Jeremy Smith","Labour",42,0,15,2,0.711864406779661,1
"306","Camden",1994,"Richard Arthur","Jeremy Smith","Labour",47,0,7,5,0.796610169491525,1
"307","Camden",1995,"Richard Arthur","Jeremy Smith","Labour",47,0,7,5,0.796610169491525,1
"308","Camden",1996,"Richard Arthur","Steve Bundred","Labour",48,0,7,4,0.813559322033898,1
"309","Camden",1997,"Richard Arthur","Steve Bundred","Labour",48,0,7,4,0.813559322033898,1
"310","Camden",1998,"Richard Arthur","Steve Bundred","Labour",43,0,10,6,0.728813559322034,1
"311","Camden",1999,"Richard Arthur","Steve Bundred","Labour",42,0,11,6,0.711864406779661,1
"312","Camden",2000,"Jane Roberts","Steve Bundred","Labour",41,2,10,6,0.694915254237288,1
"313","Camden",2001,"Jane Roberts","Steve Bundred","Labour",42,0,11,6,0.711864406779661,1
"314","Camden",2002,"Jane Roberts","Steve Bundred","Labour",35,0,11,8,0.648148148148148,1
"315","Camden",2003,"Jane Roberts","Moira Gibb","Labour",35,0,11,8,0.648148148148148,1
"316","Camden",2004,"Jane Roberts","Moira Gibb","Labour",35,0,11,8,0.648148148148148,1
"317","Camden",2005,"Jane Roberts","Moira Gibb","Labour",36,0,11,8,0.654545454545455,1
"318","Camden",2006,"Keith Moffitt","Moira Gibb","No Overall Control",18,2,14,20,0.333333333333333,0
"319","Camden",2007,"Keith Moffitt","Moira Gibb","No Overall Control",16,2,14,22,0.296296296296296,0
"320","Camden",2008,"Keith Moffitt","Moira Gibb","No Overall Control",16,5,12,21,0.296296296296296,0
"321","Camden",2009,"Keith Moffitt","Moira Gibb","No Overall ControlCoalition of Lib Dems and Conservatives",15,4,12,24,0.272727272727273,0
"322","Camden",2010,"Nasim Ali","Moira Gibb","Labour",30,2,9,13,0.555555555555556,1
"323","Camden",2011,"Nasim Ali","Moira Gibb","Labour",29,2,10,13,0.537037037037037,1
"324","Camden",2012,"Sarah Hayward","Mike Cooke","Labour",30,1,10,13,0.555555555555556,1
"325","Camden",2013,"Sarah Hayward","Mike Cooke","Labour",30,1,10,13,0.555555555555556,1
"326","Camden",2014,"Sarah Hayward","Mike Cooke","Labour",40,1,12,1,0.740740740740741,1
"327","Camden",2015,"Sarah Hayward","Mike Cooke","Labour",40,1,12,1,0.740740740740741,1
"328","Camden",2016,"Sarah Hayward","Mike Cooke","Labour",40,1,12,1,0.740740740740741,1
"329","Camden",2017,"Georgia Gould","Mike Cooke","Labour",39,3,11,1,0.722222222222222,1
"330","Camden",2018,"Georgia Gould","Jenny Rowlands","Labour",43,1,7,3,0.796296296296296,1
"331","Croydon",1964,"Albert John Dunn","Alan Blakemore","No Overall Control",21,18,21,0,0.35,0
"332","Croydon",1965,"Albert John Dunn","Alan Blakemore","No Overall Control",21,18,21,0,0.35,0
"333","Croydon",1966,"Albert John Dunn","Alan Blakemore","No Overall Control",21,18,21,0,0.35,0
"334","Croydon",1967,"Digby Milward Weightman","Alan Blakemore","No Overall Control",21,18,21,0,0.35,0
"335","Croydon",1968,"Digby Milward Weightman","Alan Blakemore","Conservative",1,11,47,1,0.0166666666666667,0
"336","Croydon",1969,"Digby Milward Weightman","Alan Blakemore","Conservative",1,11,47,1,0.0166666666666667,0
"337","Croydon",1970,"Albert John Dunn","Alan Blakemore","Conservative",1,11,47,1,0.0166666666666667,0
"338","Croydon",1971,"Albert John Dunn","Alan Blakemore","Conservative",27,3,30,0,0.45,0
"339","Croydon",1972,"Albert John Dunn","Alan Blakemore","Conservative",27,3,30,0,0.45,0
"340","Croydon",1973,"Albert John Dunn","Alan Blakemore","Conservative",27,3,30,0,0.45,0
"341","Croydon",1974,"Albert John Dunn","Alan Blakemore","Conservative",17,3,40,0,0.283333333333333,0
"342","Croydon",1975,"Albert John Dunn","Alan Blakemore","Conservative",17,3,40,0,0.283333333333333,0
"343","Croydon",1976,"Peter Bowness","Alan Blakemore","Conservative",17,3,40,0,0.283333333333333,0
"344","Croydon",1977,"Peter Bowness","Alan Blakemore","Conservative",17,3,40,0,0.283333333333333,0
"345","Croydon",1978,"Peter Bowness","Alan Blakemore","Conservative",11,3,56,0,0.157142857142857,0
"346","Croydon",1979,"Stanley Elliott Littlechild","Alan Blakemore","Conservative",11,3,56,0,0.157142857142857,0
"347","Croydon",1980,"Peter Bowness","Alan Blakemore","Conservative",11,3,56,0,0.157142857142857,0
"348","Croydon",1981,"Peter Bowness","Alan Blakemore","Conservative",11,3,56,0,0.157142857142857,0
"349","Croydon",1982,"Peter Bowness","Frank Birch","Conservative",5,3,62,0,0.0714285714285714,0
"350","Croydon",1983,"Peter Bowness","Frank Birch","Conservative",5,3,62,0,0.0714285714285714,0
"351","Croydon",1984,"Peter Bowness","Frank Birch","Conservative",5,3,62,0,0.0714285714285714,0
"352","Croydon",1985,"Peter Bowness","Frank Birch","Conservative",5,3,62,0,0.0714285714285714,0
"353","Croydon",1986,"Peter Bowness","Frank Birch","Conservative",26,0,44,0,0.371428571428571,0
"354","Croydon",1987,"Peter Bowness","Frank Birch","Conservative",26,0,44,0,0.371428571428571,0
"355","Croydon",1988,"Peter Bowness","Frank Birch","Conservative",26,0,44,0,0.371428571428571,0
"356","Croydon",1989,"Peter Bowness","Frank Birch","Conservative",26,0,44,0,0.371428571428571,0
"357","Croydon",1990,"Peter Bowness","Roger Jefferies","Conservative",29,0,41,0,0.414285714285714,0
"358","Croydon",1991,"Peter Bowness","Roger Jefferies","Conservative",29,0,41,0,0.414285714285714,0
"359","Croydon",1992,"Peter Bowness","Roger Jefferies","Conservative",29,0,41,0,0.414285714285714,0
"360","Croydon",1993,"Peter Bowness","David Wechsler","Conservative",29,1,40,0,0.414285714285714,0
"361","Croydon",1994,"Mary Walker","David Wechsler","Labour",40,0,30,0,0.571428571428571,1
"362","Croydon",1995,"Mary Walker","David Wechsler","Labour",40,0,30,0,0.571428571428571,1
"363","Croydon",1996,"Geraint Davies","David Wechsler","Labour",40,0,30,0,0.571428571428571,1
"364","Croydon",1997,"Valerie Shawcross","David Wechsler","Labour",40,0,30,0,0.571428571428571,1
"365","Croydon",1998,"Valerie Shawcross","David Wechsler","Labour",38,0,31,1,0.542857142857143,1
"366","Croydon",1999,"Valerie Shawcross","David Wechsler","Labour",38,0,31,1,0.542857142857143,1
"367","Croydon",2000,"Hugh Malyan","David Wechsler","Labour",38,0,31,1,0.542857142857143,1
"368","Croydon",2001,"Hugh Malyan","David Wechsler","Labour",38,0,31,1,0.542857142857143,1
"369","Croydon",2002,"Hugh Malyan","David Wechsler","Labour",37,0,32,1,0.528571428571429,1
"370","Croydon",2003,"Hugh Malyan","David Wechsler","Labour",37,0,32,1,0.528571428571429,1
"371","Croydon",2004,"Hugh Malyan","David Wechsler","Labour",37,1,31,1,0.528571428571429,1
"372","Croydon",2005,"Tony Newman","David Wechsler","Labour",37,0,31,2,0.528571428571429,1
"373","Croydon",2006,"Mike Fisher","David Wechsler","Conservative",27,0,43,0,0.385714285714286,0
"374","Croydon",2007,"Mike Fisher","Jon Rouse","Conservative",27,0,43,0,0.385714285714286,0
"375","Croydon",2008,"Mike Fisher","Jon Rouse","Conservative",25,0,45,0,0.357142857142857,0
"376","Croydon",2009,"Mike Fisher","Jon Rouse","Conservative",26,1,43,0,0.371428571428571,0
"377","Croydon",2010,"Mike Fisher","Jon Rouse","Conservative",33,0,37,0,0.471428571428571,0
"378","Croydon",2011,"Mike Fisher","Jon Rouse","Conservative",33,0,37,0,0.471428571428571,0
"379","Croydon",2012,"Mike Fisher","Jon Rouse","Conservative",33,0,37,0,0.471428571428571,0
"380","Croydon",2013,"Mike Fisher","Nathan Elvery","Conservative",33,0,37,0,0.471428571428571,0
"381","Croydon",2014,"Tony Newman","Nathan Elvery","Labour",40,0,30,0,0.571428571428571,1
"382","Croydon",2015,"Tony Newman","Nathan Elvery","Labour",40,0,30,0,0.571428571428571,1
"383","Croydon",2016,"Tony Newman","Jo Negrini","Labour",40,0,30,0,0.571428571428571,1
"384","Croydon",2017,"Tony Newman","Jo Negrini","Labour",39,2,29,0,0.557142857142857,1
"385","Croydon",2018,"Tony Newman","Jo Negrini","Labour",41,0,29,0,0.585714285714286,1
"386","Ealing",1964,"William Hopkins","EJ Cope-Brown","Labour",34,0,26,0,0.566666666666667,1
"387","Ealing",1965,"William Hopkins","EJ Cope-Brown","Labour",34,0,26,0,0.566666666666667,1
"388","Ealing",1966,"William Hopkins","EJ Cope-Brown","Labour",34,0,26,0,0.566666666666667,1
"389","Ealing",1967,"William Hopkins","EJ Cope-Brown","Labour",34,0,26,0,0.566666666666667,1
"390","Ealing",1968,"Robert Hetherington","EJ Cope-Brown","Conservative",5,2,53,0,0.0833333333333333,0
"391","Ealing",1969,"Robert Hetherington","EJ Cope-Brown","Conservative",5,2,53,0,0.0833333333333333,0
"392","Ealing",1970,"Robert Hetherington","Peter Coomber","Conservative",5,2,53,0,0.0833333333333333,0
"393","Ealing",1971,"John Telfer","Peter Coomber","Labour",40,0,20,0,0.666666666666667,1
"394","Ealing",1972,"John Telfer","Peter Coomber","Labour",40,0,20,0,0.666666666666667,1
"395","Ealing",1973,"John Telfer","Peter Coomber","Labour",40,0,20,0,0.666666666666667,1
"396","Ealing",1974,"John Telfer","Peter Coomber","Labour",36,0,24,0,0.6,1
"397","Ealing",1975,"Michael Elliot","Peter Coomber","Labour",36,0,24,0,0.6,1
"398","Ealing",1976,"Michael Elliot","Peter Coomber","Labour",36,0,24,0,0.6,1
"399","Ealing",1977,"Michael Elliot","Peter Coomber","Labour",36,0,24,0,0.6,1
"400","Ealing",1978,"Beatrice Howard","Peter Coomber","Conservative",28,1,41,0,0.4,0
"401","Ealing",1979,"Beatrice Howard","Peter Coomber","Conservative",28,1,41,0,0.4,0
"402","Ealing",1980,"Beatrice Howard","Peter Coomber","Conservative",28,1,41,0,0.4,0
"403","Ealing",1981,"John Wood","Alan Groves","Conservative",28,1,41,0,0.4,0
"404","Ealing",1982,"John Wood","R.J Chalkley","Conservative",30,0,37,3,0.428571428571429,0
"405","Ealing",1983,"Ken Kettle","Brian T Collins","Conservative",30,0,37,3,0.428571428571429,0
"406","Ealing",1984,"Ken Kettle","Brian T Collins","Conservative",30,0,37,3,0.428571428571429,0
"407","Ealing",1985,"Ken Kettle","Brian T Collins","Conservative",30,0,37,3,0.428571428571429,0
"408","Ealing",1986,"Len Turner","John Leadbetter & R.J Chalkley","Labour",47,0,20,3,0.671428571428571,1
"409","Ealing",1987,"Len Turner","Judith Hunt","Labour",47,0,20,3,0.671428571428571,1
"410","Ealing",1988,"Len Turner","Judith Hunt","Labour",47,0,20,3,0.671428571428571,1
"411","Ealing",1989,"John Cudmore","Judith Hunt","Labour",47,0,20,3,0.671428571428571,1
"412","Ealing",1990,"Martin Mallam","Judith Hunt","Conservative",30,0,40,0,0.428571428571429,0
"413","Ealing",1991,"Graham Bull","Judith Hunt","Conservative",30,0,40,0,0.428571428571429,0
"414","Ealing",1992,"Graham Bull","Judith Hunt","Conservative",30,0,40,0,0.428571428571429,0
"415","Ealing",1993,"Graham Bull","Judith Hunt","Conservative",31,0,39,0,0.442857142857143,0
"416","Ealing",1994,"John Cudmore","Gillian Guy","Labour",48,0,20,3,0.676056338028169,1
"417","Ealing",1995,"John Cudmore","Gillian Guy","Labour",49,0,19,3,0.690140845070423,1
"418","Ealing",1996,"John Cudmore","Gillian Guy","Labour",49,0,19,3,0.690140845070423,1
"419","Ealing",1997,"John Cudmore","Gillian Guy","Labour",49,0,19,3,0.690140845070423,1
"420","Ealing",1998,"John Cudmore","Gillian Guy","Labour",53,0,15,3,0.746478873239437,1
"421","Ealing",1999,"John Cudmore","Gillian Guy","Labour",53,0,15,3,0.746478873239437,1
"422","Ealing",2000,"John Cudmore","Gillian Guy","Labour",52,0,16,3,0.732394366197183,1
"423","Ealing",2001,"John Cudmore","Gillian Guy","Labour",52,0,16,3,0.732394366197183,1
"424","Ealing",2002,"John Cudmore","Gillian Guy","Labour",48,0,17,4,0.695652173913043,1
"425","Ealing",2003,"John Cudmore","Gillian Guy","Labour",48,0,17,4,0.695652173913043,1
"426","Ealing",2004,"John Cudmore","Gillian Guy","Labour",48,0,17,4,0.695652173913043,1
"427","Ealing",2005,"Leo Thomson","Darra Singh","Labour",47,1,17,4,0.681159420289855,1
"428","Ealing",2006,"Jason Stacey","Darra Singh","Conservative",29,0,37,3,0.420289855072464,0
"429","Ealing",2007,"Jason Stacey","Darra Singh","Conservative",24,0,42,3,0.347826086956522,0
"430","Ealing",2008,"Jason Stacey","Darra Singh","Conservative",23,0,43,3,0.333333333333333,0
"431","Ealing",2009,"Jason Stacey","Darra Singh","Conservative",23,0,43,3,0.333333333333333,0
"432","Ealing",2010,"Julian Bell","Martin Smith","Labour",40,0,24,5,0.579710144927536,1
"433","Ealing",2011,"Julian Bell","Martin Smith","Labour",40,0,24,5,0.579710144927536,1
"434","Ealing",2012,"Julian Bell","Martin Smith","Labour",40,1,23,5,0.579710144927536,1
"435","Ealing",2013,"Julian Bell","Martin Smith","Labour",40,1,23,5,0.579710144927536,1
"436","Ealing",2014,"Julian Bell","Martin Smith","Labour",53,0,12,4,0.768115942028985,1
"437","Ealing",2015,"Julian Bell","Martin Smith","Labour",53,0,12,4,0.768115942028985,1
"438","Ealing",2016,"Julian Bell","Paul Najsarek","Labour",53,0,12,4,0.768115942028985,1
"439","Ealing",2017,"Julian Bell","Paul Najsarek","Labour",53,0,12,4,0.768115942028985,1
"440","Ealing",2018,"Julian Bell","Paul Najsarek","Labour",57,0,8,4,0.826086956521739,1
"441","Enfield",1964,"Ted Graham","Cyril Platten","Labour",31,0,29,0,0.516666666666667,1
"442","Enfield",1965,"Ted Graham","Cyril Platten","Labour",31,0,29,0,0.516666666666667,1
"443","Enfield",1966,"Eric Smythe","Cyril Platten","Labour",31,0,29,0,0.516666666666667,1
"444","Enfield",1967,"Eric Smythe","Cyril Platten","Labour",31,0,29,0,0.516666666666667,1
"445","Enfield",1968,"Alan Young","Cyril Platten","Conservative",9,0,51,0,0.15,0
"446","Enfield",1969,"Alan Young","Cyril Platten","Conservative",9,0,51,0,0.15,0
"447","Enfield",1970,"Alan Young","Cyril Platten","Conservative",9,0,51,0,0.15,0
"448","Enfield",1971,"Alan Young","Cyril Platten","Conservative",28,0,32,0,0.466666666666667,0
"449","Enfield",1972,"Alan Young","Cyril Platten","Conservative",28,0,32,0,0.466666666666667,0
"450","Enfield",1973,"Alan Young","Cyril Platten","Conservative",28,0,32,0,0.466666666666667,0
"451","Enfield",1974,"Alan Young","W Day","Conservative",29,0,30,1,0.483333333333333,0
"452","Enfield",1975,"Alan Young","W Day","Conservative",29,0,30,1,0.483333333333333,0
"453","Enfield",1976,"Alan Young","W Day","Conservative",29,0,30,1,0.483333333333333,0
"454","Enfield",1977,"Alan Young","Unknown","Conservative",29,0,30,1,0.483333333333333,0
"455","Enfield",1978,"Alan Young","Unknown","Conservative",19,0,41,0,0.316666666666667,0
"456","Enfield",1979,"Alan Young","Unknown","Conservative",19,0,41,0,0.316666666666667,0
"457","Enfield",1980,"Alan Young","Unknown","Conservative",19,0,41,0,0.316666666666667,0
"458","Enfield",1981,"Alan Young","Unknown","Conservative",19,0,41,0,0.316666666666667,0
"459","Enfield",1982,"Alan Young","Unknown","Conservative",19,0,47,0,0.287878787878788,0
"460","Enfield",1983,"Alan Young","Unknown","Conservative",19,0,47,0,0.287878787878788,0
"461","Enfield",1984,"Alan Young","Unknown","Conservative",19,0,47,0,0.287878787878788,0
"462","Enfield",1985,"Alan Young","Unknown","Conservative",19,0,47,0,0.287878787878788,0
"463","Enfield",1986,"Alan Young","Unknown","Conservative",28,0,38,0,0.424242424242424,0
"464","Enfield",1987,"John Lindsay","Unknown","Conservative",28,0,38,0,0.424242424242424,0
"465","Enfield",1988,"Graham Eustance","Unknown","Conservative",28,0,38,0,0.424242424242424,0
"466","Enfield",1989,"Graham Eustance","Unknown","Conservative",28,0,38,0,0.424242424242424,0
"467","Enfield",1990,"Graham Eustance","Brian McAndrew","Conservative",32,0,34,0,0.484848484848485,0
"468","Enfield",1991,"Graham Eustance","Brian McAndrew","Conservative",31,0,35,0,0.46969696969697,0
"469","Enfield",1992,"Graham Eustance","Unknown","Conservative",31,0,35,0,0.46969696969697,0
"470","Enfield",1993,"Graham Eustance","Maralyn Arnold","Conservative",31,0,35,0,0.46969696969697,0
"471","Enfield",1994,"Jeff Rodin","Maralyn Arnold","Labour",41,0,25,0,0.621212121212121,1
"472","Enfield",1995,"Jeff Rodin","David Plank","Labour",41,0,25,0,0.621212121212121,1
"473","Enfield",1996,"Jeff Rodin","David Plank","Labour",41,1,24,0,0.621212121212121,1
"474","Enfield",1997,"Jeff Rodin","David Plank","Labour",40,0,26,0,0.606060606060606,1
"475","Enfield",1998,"Jeff Rodin","David Plank","Labour",43,0,23,0,0.651515151515151,1
"476","Enfield",1999,"Doug Taylor","David Plank","Labour",43,0,23,0,0.651515151515151,1
"477","Enfield",2000,"Doug Taylor","David Plank","Labour",42,1,23,0,0.636363636363636,1
"478","Enfield",2001,"Doug Taylor","David Plank","Labour",42,2,22,0,0.636363636363636,1
"479","Enfield",2002,"Mike Rye","Donald Graham","Conservative",24,0,39,0,0.380952380952381,0
"480","Enfield",2003,"Mike Rye","Rob Leak","Conservative",24,0,39,0,0.380952380952381,0
"481","Enfield",2004,"Mike Rye","Rob Leak","Conservative",24,0,39,0,0.380952380952381,0
"482","Enfield",2005,"Mike Rye","Rob Leak","Conservative",24,0,39,0,0.380952380952381,0
"483","Enfield",2006,"Mike Rye","Rob Leak","Conservative",27,2,34,0,0.428571428571429,0
"484","Enfield",2007,"Mike Rye","Rob Leak","Conservative",27,2,34,0,0.428571428571429,0
"485","Enfield",2008,"Mike Rye","Rob Leak","Conservative",27,2,34,0,0.428571428571429,0
"486","Enfield",2009,"Mike Rye","Rob Leak","Conservative",27,2,34,0,0.428571428571429,0
"487","Enfield",2010,"Doug Taylor","Rob Leak","Labour",36,0,27,0,0.571428571428571,1
"488","Enfield",2011,"Doug Taylor","Rob Leak","Labour",36,0,27,0,0.571428571428571,1
"489","Enfield",2012,"Doug Taylor","Rob Leak","Labour",36,0,27,0,0.571428571428571,1
"490","Enfield",2013,"Doug Taylor","Rob Leak","Labour",36,0,27,0,0.571428571428571,1
"491","Enfield",2014,"Doug Taylor","Rob Leak","Labour",41,0,22,0,0.650793650793651,1
"492","Enfield",2015,"Doug Taylor","Rob Leak","Labour",39,2,22,0,0.619047619047619,1
"493","Enfield",2016,"Doug Taylor","Rob Leak","Labour",39,2,22,0,0.619047619047619,1
"494","Enfield",2017,"Doug Taylor","Rob Leak","Labour",39,2,22,0,0.619047619047619,1
"495","Enfield",2018,"Nesil Caliskan","Ian Davis","Labour",46,0,17,0,0.73015873015873,1
"496","Greenwich",1964,"Ronald Stucke","RL Doble","Labour",49,0,11,0,0.816666666666667,1
"497","Greenwich",1965,"Ronald Stucke","RL Doble","Labour",49,0,11,0,0.816666666666667,1
"498","Greenwich",1966,"Thomas Smith","RL Doble","Labour",49,0,11,0,0.816666666666667,1
"499","Greenwich",1967,"Thomas Smith","RL Doble","Labour",49,0,11,0,0.816666666666667,1
"500","Greenwich",1968,"William Manners","RL Doble","Conservative",22,0,38,0,0.366666666666667,0
"501","Greenwich",1969,"Charles Miles","RL Doble","Conservative",22,0,38,0,0.366666666666667,0
"502","Greenwich",1970,"Charles Miles","R Doble","Conservative",22,0,38,0,0.366666666666667,0
"503","Greenwich",1971,"John Cartwright","R Doble","Labour",55,0,5,0,0.916666666666667,1
"504","Greenwich",1972,"John Cartwright","R Doble","Labour",55,0,5,0,0.916666666666667,1
"505","Greenwich",1973,"John Cartwright","R Doble","Labour",55,0,5,0,0.916666666666667,1
"506","Greenwich",1974,"Arthur Capelin","R Doble","Labour",52,0,8,0,0.866666666666667,1
"507","Greenwich",1975,"Arthur Capelin","R Doble","Labour",52,0,8,0,0.866666666666667,1
"508","Greenwich",1976,"Arthur Capelin","R Doble","Labour",52,0,8,0,0.866666666666667,1
"509","Greenwich",1977,"Arthur Capelin","R Doble","Labour",52,0,8,0,0.866666666666667,1
"510","Greenwich",1978,"Arthur Capelin","D Brokenshire","Labour",45,0,17,0,0.725806451612903,1
"511","Greenwich",1979,"Arthur Capelin","D Brokenshire","Labour",45,0,17,0,0.725806451612903,1
"512","Greenwich",1980,"Arthur Capelin","D Brokenshire","Labour",45,0,17,0,0.725806451612903,1
"513","Greenwich",1981,"Arthur Capelin","D Brokenshire","Labour",45,0,17,0,0.725806451612903,1
"514","Greenwich",1982,"John Austin Walker","D Brokenshire","Labour",43,0,16,3,0.693548387096774,1
"515","Greenwich",1983,"John Austin Walker","D Brokenshire","Labour",43,0,16,3,0.693548387096774,1
"516","Greenwich",1984,"John Austin Walker","Alan Glover","Labour",43,0,16,3,0.693548387096774,1
"517","Greenwich",1985,"John Austin Walker","Alan Glover","Labour",43,0,16,3,0.693548387096774,1
"518","Greenwich",1986,"John Austin Walker","Alan Glover","Labour",44,0,12,6,0.709677419354839,1
"519","Greenwich",1987,"David Picton","Alan Glover","Labour",44,0,12,6,0.709677419354839,1
"520","Greenwich",1988,"David Picton","Colin Roberts","Labour",44,0,12,6,0.709677419354839,1
"521","Greenwich",1989,"Quentin Marsh","Colin Roberts","Labour",44,0,12,6,0.709677419354839,1
"522","Greenwich",1990,"Quentin Marsh","Colin Roberts","Labour",44,4,12,2,0.709677419354839,1
"523","Greenwich",1991,"Quentin Marsh","Colin Roberts","Labour",44,4,12,2,0.709677419354839,1
"524","Greenwich",1992,"Len Duvall","Colin Roberts","Labour",44,4,12,2,0.709677419354839,1
"525","Greenwich",1993,"Len Duvall","Colin Roberts","Labour",42,6,12,2,0.67741935483871,1
"526","Greenwich",1994,"Len Duvall","Colin Roberts","Labour",47,0,8,3,0.810344827586207,1
"527","Greenwich",1995,"Len Duvall","Colin Roberts","Labour",46,5,8,3,0.741935483870968,1
"528","Greenwich",1996,"Len Duvall","Colin Roberts","Labour",46,5,8,3,0.741935483870968,1
"529","Greenwich",1997,"Len Duvall","David Brooks","Labour",47,3,9,3,0.758064516129032,1
"530","Greenwich",1998,"Len Duvall","David Brooks","Labour",52,0,8,2,0.838709677419355,1
"531","Greenwich",1999,"Len Duvall","David Brooks","Labour",52,0,8,2,0.838709677419355,1
"532","Greenwich",2000,"Chris Roberts","David Brooks","Labour",52,0,8,2,0.838709677419355,1
"533","Greenwich",2001,"Chris Roberts","Mary Ney","Labour",52,0,8,2,0.838709677419355,1
"534","Greenwich",2002,"Chris Roberts","Mary Ney","Labour",38,0,9,4,0.745098039215686,1
"535","Greenwich",2003,"Chris Roberts","Mary Ney","Labour",38,0,9,4,0.745098039215686,1
"536","Greenwich",2004,"Chris Roberts","Mary Ney","Labour",38,0,9,4,0.745098039215686,1
"537","Greenwich",2005,"Chris Roberts","Mary Ney","Labour",38,0,9,4,0.745098039215686,1
"538","Greenwich",2006,"Chris Roberts","Mary Ney","Labour",36,0,13,2,0.705882352941177,1
"539","Greenwich",2007,"Chris Roberts","Mary Ney","Labour",36,0,13,2,0.705882352941177,1
"540","Greenwich",2008,"Chris Roberts","Mary Ney","Labour",35,1,13,2,0.686274509803922,1
"541","Greenwich",2009,"Chris Roberts","Mary Ney","Labour",36,0,13,2,0.705882352941177,1
"542","Greenwich",2010,"Chris Roberts","Mary Ney","Labour",40,0,11,0,0.784313725490196,1
"543","Greenwich",2011,"Chris Roberts","Mary Ney","Labour",40,0,11,0,0.784313725490196,1
"544","Greenwich",2012,"Chris Roberts","Mary Ney","Labour",40,0,11,0,0.784313725490196,1
"545","Greenwich",2013,"Chris Roberts","Mary Ney","Labour",40,0,11,0,0.784313725490196,1
