"","borough","year","party","seats","leader","clerk","control"
"210.2","Brent",2008,"Labour Party",20,"Paul Lorber","Gareth Daniel","No Overall Control"
"210.3","Brent",2008,"Conservative",14,"Paul Lorber","Gareth Daniel","No Overall Control"
"210.4","Brent",2008,"Independent",3,"Paul Lorber","Gareth Daniel","No Overall Control"
"211.1","Brent",2009,"Liberal Democrats",27,"Paul Lorber","Gareth Daniel","No Overall ControlLib Dem / Conservative coalition"
"211.2","Brent",2009,"Labour Party",20,"Paul Lorber","Gareth Daniel","No Overall ControlLib Dem / Conservative coalition"
"211.3","Brent",2009,"Conservative",14,"Paul Lorber","Gareth Daniel","No Overall ControlLib Dem / Conservative coalition"
"211.4","Brent",2009,"Independent",2,"Paul Lorber","Gareth Daniel","No Overall ControlLib Dem / Conservative coalition"
"212.1","Brent",2010,"Labour Party",40,"Ann John","Gareth Daniel","Labour"
"212.2","Brent",2010,"Liberal Democrats",17,"Ann John","Gareth Daniel","Labour"
"212.3","Brent",2010,"Conservative",6,"Ann John","Gareth Daniel","Labour"
"213.1","Brent",2011,"Labour Party",40,"Ann John","Gareth Daniel","Labour"
"213.2","Brent",2011,"Liberal Democrats",17,"Ann John","Gareth Daniel","Labour"
"213.3","Brent",2011,"Conservative",6,"Ann John","Gareth Daniel","Labour"
"214.1","Brent",2012,"Labour Party",40,"Muhammed Butt","Christine Gilbert","Labour"
"214.2","Brent",2012,"Liberal Democrats",16,"Muhammed Butt","Christine Gilbert","Labour"
"214.3","Brent",2012,"Conservative",6,"Muhammed Butt","Christine Gilbert","Labour"
"214.4","Brent",2012,"Independent",1,"Muhammed Butt","Christine Gilbert","Labour"
"215.1","Brent",2013,"Labour Party",40,"Muhammed Butt","Christine Gilbert","Labour"
"215.2","Brent",2013,"Liberal Democrats",16,"Muhammed Butt","Christine Gilbert","Labour"
"215.3","Brent",2013,"Conservative",6,"Muhammed Butt","Christine Gilbert","Labour"
"215.4","Brent",2013,"Independent",1,"Muhammed Butt","Christine Gilbert","Labour"
"216.1","Brent",2014,"Labour Party",56,"Muhammed Butt","Christine Gilbert","Labour"
"216.2","Brent",2014,"Conservative",6,"Muhammed Butt","Christine Gilbert","Labour"
"216.3","Brent",2014,"Liberal Democrats",1,"Muhammed Butt","Christine Gilbert","Labour"
"217.1","Brent",2015,"Labour Party",56,"Muhammed Butt","Carolyn Downs","Labour"
"217.2","Brent",2015,"Conservative",6,"Muhammed Butt","Carolyn Downs","Labour"
"217.3","Brent",2015,"Liberal Democrats",1,"Muhammed Butt","Carolyn Downs","Labour"
"218.1","Brent",2016,"Labour Party",56,"Muhammed Butt","Carolyn Downs","Labour"
"218.2","Brent",2016,"Conservative",6,"Muhammed Butt","Carolyn Downs","Labour"
"218.3","Brent",2016,"Liberal Democrats",1,"Muhammed Butt","Carolyn Downs","Labour"
"219.1","Brent",2017,"Labour Party",56,"Muhammed Butt","Carolyn Downs","Labour"
"219.2","Brent",2017,"Conservative",6,"Muhammed Butt","Carolyn Downs","Labour"
"219.3","Brent",2017,"Independent",1,"Muhammed Butt","Carolyn Downs","Labour"
"220.1","Brent",2018,"Labour Party",57,"Muhammed Butt","Carolyn Downs","Labour"
"220.2","Brent",2018,"Conservative",3,"Muhammed Butt","Carolyn Downs","Labour"
"221.1","Bromley",1964,"Conservative",38,"Unknown","Thomas Fagg","Conservative"
"221.2","Bromley",1964,"Labour Party",15,"Unknown","Thomas Fagg","Conservative"
"221.3","Bromley",1964,"Liberal Democrats",7,"Unknown","Thomas Fagg","Conservative"
"222.1","Bromley",1965,"Conservative",38,"Unknown","Thomas Fagg","Conservative"
"222.2","Bromley",1965,"Labour Party",15,"Unknown","Thomas Fagg","Conservative"
"222.3","Bromley",1965,"Liberal Democrats",7,"Unknown","Thomas Fagg","Conservative"
"223.1","Bromley",1966,"Conservative",38,"Unknown","Thomas Fagg","Conservative"
"223.2","Bromley",1966,"Labour Party",15,"Unknown","Thomas Fagg","Conservative"
"223.3","Bromley",1966,"Liberal Democrats",7,"Unknown","Thomas Fagg","Conservative"
"224.1","Bromley",1967,"Conservative",38,"Unknown","Thomas Fagg","Conservative"
"224.2","Bromley",1967,"Labour Party",15,"Unknown","Thomas Fagg","Conservative"
"224.3","Bromley",1967,"Liberal Democrats",7,"Unknown","Thomas Fagg","Conservative"
"225.1","Bromley",1968,"Conservative",52,"Unknown","Thomas Fagg","Conservative"
"225.2","Bromley",1968,"Labour Party",5,"Unknown","Thomas Fagg","Conservative"
"225.3","Bromley",1968,"Liberal Democrats",3,"Unknown","Thomas Fagg","Conservative"
"226.1","Bromley",1969,"Conservative",52,"Unknown","Thomas Fagg","Conservative"
"226.2","Bromley",1969,"Labour Party",5,"Unknown","Thomas Fagg","Conservative"
"226.3","Bromley",1969,"Liberal Democrats",3,"Unknown","Thomas Fagg","Conservative"
"227.1","Bromley",1970,"Conservative",52,"Unknown","Thomas Fagg","Conservative"
"227.2","Bromley",1970,"Labour Party",5,"Unknown","Thomas Fagg","Conservative"
"227.3","Bromley",1970,"Liberal Democrats",3,"Unknown","Thomas Fagg","Conservative"
"228.1","Bromley",1971,"Conservative",41,"H W Haden","Percy Bunting","Conservative"
"228.2","Bromley",1971,"Labour Party",15,"H W Haden","Percy Bunting","Conservative"
"228.3","Bromley",1971,"Liberal Democrats",4,"H W Haden","Percy Bunting","Conservative"
"229.1","Bromley",1972,"Conservative",41,"Dennis Barkway","Percy Bunting","Conservative"
"229.2","Bromley",1972,"Labour Party",15,"Dennis Barkway","Percy Bunting","Conservative"
"229.3","Bromley",1972,"Liberal Democrats",4,"Dennis Barkway","Percy Bunting","Conservative"
"230.1","Bromley",1973,"Conservative",41,"Dennis Barkway","Percy Bunting","Conservative"
"230.2","Bromley",1973,"Labour Party",15,"Dennis Barkway","Percy Bunting","Conservative"
"230.3","Bromley",1973,"Liberal Democrats",4,"Dennis Barkway","Percy Bunting","Conservative"
"231.1","Bromley",1974,"Conservative",44,"Dennis Barkway","Percy Bunting","Conservative"
"231.2","Bromley",1974,"Labour Party",14,"Dennis Barkway","Percy Bunting","Conservative"
"231.3","Bromley",1974,"Liberal Democrats",2,"Dennis Barkway","Percy Bunting","Conservative"
"232.1","Bromley",1975,"Conservative",44,"Dennis Barkway","Percy Bunting","Conservative"
"232.2","Bromley",1975,"Labour Party",14,"Dennis Barkway","Percy Bunting","Conservative"
"232.3","Bromley",1975,"Liberal Democrats",2,"Dennis Barkway","Percy Bunting","Conservative"
"233.1","Bromley",1976,"Conservative",44,"Simon  Randall","Percy Bunting","Conservative"
"233.2","Bromley",1976,"Labour Party",14,"Simon  Randall","Percy Bunting","Conservative"
"233.3","Bromley",1976,"Liberal Democrats",2,"Simon  Randall","Percy Bunting","Conservative"
"234.1","Bromley",1977,"Conservative",44,"Simon Randall","Percy Bunting","Conservative"
"234.2","Bromley",1977,"Labour Party",14,"Simon Randall","Percy Bunting","Conservative"
"234.3","Bromley",1977,"Liberal Democrats",2,"Simon Randall","Percy Bunting","Conservative"
"235.1","Bromley",1978,"Conservative",48,"Simon Randall","Percy Bunting","Conservative"
"235.2","Bromley",1978,"Labour Party",12,"Simon Randall","Percy Bunting","Conservative"
"236.1","Bromley",1979,"Conservative",48,"Simon Randall","Nigel Palk","Conservative"
"236.2","Bromley",1979,"Labour Party",12,"Simon Randall","Nigel Palk","Conservative"
"237.1","Bromley",1980,"Conservative",48,"Simon Randall","Nigel Palk","Conservative"
"237.2","Bromley",1980,"Labour Party",12,"Simon Randall","Nigel Palk","Conservative"
"238.1","Bromley",1981,"Conservative",48,"Dennis Barkway","Nigel Palk","Conservative"
"238.2","Bromley",1981,"Labour Party",12,"Dennis Barkway","Nigel Palk","Conservative"
"239.1","Bromley",1982,"Conservative",52,"Dennis Barkway","Nigel Palk","Conservative"
"239.2","Bromley",1982,"Labour Party",5,"Dennis Barkway","Nigel Palk","Conservative"
"239.3","Bromley",1982,"Liberal Democrats",3,"Dennis Barkway","Nigel Palk","Conservative"
"240.1","Bromley",1983,"Conservative",52,"Dennis Barkway","Nigel Palk","Conservative"
"240.2","Bromley",1983,"Labour Party",5,"Dennis Barkway","Nigel Palk","Conservative"
"240.3","Bromley",1983,"Liberal Democrats",3,"Dennis Barkway","Nigel Palk","Conservative"
"241.1","Bromley",1984,"Conservative",52,"Dennis Barkway","Nigel Palk","Conservative"
"241.2","Bromley",1984,"Labour Party",5,"Dennis Barkway","Nigel Palk","Conservative"
"241.3","Bromley",1984,"Liberal Democrats",3,"Dennis Barkway","Nigel Palk","Conservative"
"242.1","Bromley",1985,"Conservative",52,"Dennis Barkway","Nigel Palk","Conservative"
"242.2","Bromley",1985,"Labour Party",5,"Dennis Barkway","Nigel Palk","Conservative"
"242.3","Bromley",1985,"Liberal Democrats",3,"Dennis Barkway","Nigel Palk","Conservative"
"243.1","Bromley",1986,"Conservative",45,"Dennis Barkway","Nigel Palk","Conservative"
"243.2","Bromley",1986,"Labour Party",10,"Dennis Barkway","Nigel Palk","Conservative"
"243.3","Bromley",1986,"Liberal Democrats",5,"Dennis Barkway","Nigel Palk","Conservative"
"244.1","Bromley",1987,"Conservative",45,"Dennis Barkway","Nigel Palk","Conservative"
"244.2","Bromley",1987,"Labour Party",10,"Dennis Barkway","Nigel Palk","Conservative"
"244.3","Bromley",1987,"Liberal Democrats",5,"Dennis Barkway","Nigel Palk","Conservative"
"245.1","Bromley",1988,"Conservative",45,"Dennis Barkway","Nigel Palk","Conservative"
"245.2","Bromley",1988,"Labour Party",10,"Dennis Barkway","Nigel Palk","Conservative"
"245.3","Bromley",1988,"Liberal Democrats",5,"Dennis Barkway","Nigel Palk","Conservative"
"246.1","Bromley",1989,"Conservative",45,"Dennis Barkway","Nigel Palk","Conservative"
"246.2","Bromley",1989,"Labour Party",10,"Dennis Barkway","Nigel Palk","Conservative"
"246.3","Bromley",1989,"Liberal Democrats",5,"Dennis Barkway","Nigel Palk","Conservative"
"247.1","Bromley",1990,"Conservative",43,"Dennis Barkway","Nigel Palk","Conservative"
"247.2","Bromley",1990,"Labour Party",11,"Dennis Barkway","Nigel Palk","Conservative"
"247.3","Bromley",1990,"Liberal Democrats",6,"Dennis Barkway","Nigel Palk","Conservative"
"248.1","Bromley",1991,"Conservative",43,"Dennis Barkway","Nigel Palk","Conservative"
"248.2","Bromley",1991,"Labour Party",11,"Dennis Barkway","Nigel Palk","Conservative"
"248.3","Bromley",1991,"Liberal Democrats",6,"Dennis Barkway","Nigel Palk","Conservative"
"249.1","Bromley",1992,"Conservative",43,"Dennis Barkway","Nigel Palk","Conservative"
"249.2","Bromley",1992,"Labour Party",11,"Dennis Barkway","Nigel Palk","Conservative"
"249.3","Bromley",1992,"Liberal Democrats",6,"Dennis Barkway","Nigel Palk","Conservative"
"250.1","Bromley",1993,"Conservative",42,"Dennis Barkway","Nigel Palk","Conservative"
"250.2","Bromley",1993,"Labour Party",11,"Dennis Barkway","Nigel Palk","Conservative"
"250.3","Bromley",1993,"Liberal Democrats",7,"Dennis Barkway","Nigel Palk","Conservative"
"251.1","Bromley",1994,"Conservative",32,"Dennis Barkway","Nigel Palk","Conservative"
"251.2","Bromley",1994,"Liberal Democrats",21,"Dennis Barkway","Nigel Palk","Conservative"
"251.3","Bromley",1994,"Labour Party",7,"Dennis Barkway","Nigel Palk","Conservative"
"252.1","Bromley",1995,"Conservative",32,"Dennis Barkway","Michael Blanch","Conservative"
"252.2","Bromley",1995,"Liberal Democrats",21,"Dennis Barkway","Michael Blanch","Conservative"
"252.3","Bromley",1995,"Labour Party",7,"Dennis Barkway","Michael Blanch","Conservative"
"253.1","Bromley",1996,"Conservative",32,"Frank Cooke","Michael Blanch","Conservative"
"253.2","Bromley",1996,"Liberal Democrats",21,"Frank Cooke","Michael Blanch","Conservative"
"253.3","Bromley",1996,"Labour Party",7,"Frank Cooke","Michael Blanch","Conservative"
"254.1","Bromley",1997,"Conservative",32,"Michael Tinkner","Michael Blanch","Conservative"
"254.2","Bromley",1997,"Liberal Democrats",21,"Michael Tinkner","Michael Blanch","Conservative"
"254.3","Bromley",1997,"Labour Party",7,"Michael Tinkner","Michael Blanch","Conservative"
"255.1","Bromley",1998,"Conservative",28,"Chris Maines & Sue Polydorou","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems"
"255.2","Bromley",1998,"Liberal Democrats",25,"Chris Maines & Sue Polydorou","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems"
"255.3","Bromley",1998,"Labour Party",7,"Chris Maines & Sue Polydorou","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems"
"256.1","Bromley",1999,"Conservative",29,"Chris Maines & John Holbrook","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems"
"256.2","Bromley",1999,"Liberal Democrats",24,"Chris Maines & John Holbrook","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems"
"256.3","Bromley",1999,"Labour Party",7,"Chris Maines & John Holbrook","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems"
"257.1","Bromley",2000,"Conservative",30,"Chris Maines & John Holbrook","David Bartlett","No Overall ControlCo-led by Labour and Lib Dems"
"257.2","Bromley",2000,"Liberal Democrats",23,"Chris Maines & John Holbrook","David Bartlett","No Overall ControlCo-led by Labour and Lib Dems"
"257.3","Bromley",2000,"Labour Party",7,"Chris Maines & John Holbrook","David Bartlett","No Overall ControlCo-led by Labour and Lib Dems"
"258.1","Bromley",2001,"Conservative",32,"Michael Tickner","David Bartlett","Conservative"
"258.2","Bromley",2001,"Liberal Democrats",22,"Michael Tickner","David Bartlett","Conservative"
"258.3","Bromley",2001,"Labour Party",6,"Michael Tickner","David Bartlett","Conservative"
"258.4","Bromley",2001,"Independent Labour",1,"Michael Tickner","David Bartlett","Conservative"
"259.1","Bromley",2002,"Conservative",41,"Michael Tickner","David Bartlett","Conservative"
"259.2","Bromley",2002,"Liberal Democrats",13,"Michael Tickner","David Bartlett","Conservative"
"259.3","Bromley",2002,"Labour Party",6,"Michael Tickner","David Bartlett","Conservative"
"260.1","Bromley",2003,"Conservative",41,"Russell Mellor","David Bartlett","Conservative"
"260.2","Bromley",2003,"Liberal Democrats",13,"Russell Mellor","David Bartlett","Conservative"
"260.3","Bromley",2003,"Labour Party",6,"Russell Mellor","David Bartlett","Conservative"
"261.1","Bromley",2004,"Conservative",41,"Stephen Carr","David Bartlett","Conservative"
"261.2","Bromley",2004,"Liberal Democrats",13,"Stephen Carr","David Bartlett","Conservative"
"261.3","Bromley",2004,"Labour Party",6,"Stephen Carr","David Bartlett","Conservative"
"262.1","Bromley",2005,"Conservative",40,"Stephen Carr","David Bartlett","Conservative"
"262.2","Bromley",2005,"Liberal Democrats",13,"Stephen Carr","David Bartlett","Conservative"
"262.3","Bromley",2005,"Labour Party",6,"Stephen Carr","David Bartlett","Conservative"
"262.4","Bromley",2005,"Independent",1,"Stephen Carr","David Bartlett","Conservative"
"263.1","Bromley",2006,"Conservative",49,"Stephen Carr","David Bartlett","Conservative"
"263.2","Bromley",2006,"Liberal Democrats",7,"Stephen Carr","David Bartlett","Conservative"
"263.3","Bromley",2006,"Labour Party",4,"Stephen Carr","David Bartlett","Conservative"
"264.1","Bromley",2007,"Conservative",49,"Stephen Carr","Doug Patterson","Conservative"
"264.2","Bromley",2007,"Liberal Democrats",7,"Stephen Carr","Doug Patterson","Conservative"
"264.3","Bromley",2007,"Labour Party",4,"Stephen Carr","Doug Patterson","Conservative"
"265.1","Bromley",2008,"Conservative",49,"Stephen Carr","Doug Patterson","Conservative"
"265.2","Bromley",2008,"Liberal Democrats",7,"Stephen Carr","Doug Patterson","Conservative"
"265.3","Bromley",2008,"Labour Party",4,"Stephen Carr","Doug Patterson","Conservative"
"266.1","Bromley",2009,"Conservative",49,"Stephen Carr","Doug Patterson","Conservative"
"266.2","Bromley",2009,"Liberal Democrats",7,"Stephen Carr","Doug Patterson","Conservative"
"266.3","Bromley",2009,"Labour Party",4,"Stephen Carr","Doug Patterson","Conservative"
"266.4","Bromley",2009,"Vacancies",1,"Stephen Carr","Doug Patterson","Conservative"
"267.1","Bromley",2010,"Conservative",52,"Stephen Carr","Doug Patterson","Conservative"
"267.2","Bromley",2010,"Liberal Democrats",4,"Stephen Carr","Doug Patterson","Conservative"
"267.3","Bromley",2010,"Labour Party",3,"Stephen Carr","Doug Patterson","Conservative"
"267.4","Bromley",2010,"Vacancies",1,"Stephen Carr","Doug Patterson","Conservative"
"268.1","Bromley",2011,"Conservative",52,"Stephen Carr","Doug Patterson","Conservative"
"268.2","Bromley",2011,"Liberal Democrats",4,"Stephen Carr","Doug Patterson","Conservative"
"268.3","Bromley",2011,"Labour Party",3,"Stephen Carr","Doug Patterson","Conservative"
"268.4","Bromley",2011,"Vacancies",1,"Stephen Carr","Doug Patterson","Conservative"
"269.1","Bromley",2012,"Conservative",53,"Stephen Carr","Doug Patterson","Conservative"
"269.2","Bromley",2012,"Liberal Democrats",4,"Stephen Carr","Doug Patterson","Conservative"
"269.3","Bromley",2012,"Labour Party",3,"Stephen Carr","Doug Patterson","Conservative"
"270.1","Bromley",2013,"Conservative",53,"Stephen Carr","Doug Patterson","Conservative"
"270.2","Bromley",2013,"Liberal Democrats",4,"Stephen Carr","Doug Patterson","Conservative"
"270.3","Bromley",2013,"Labour Party",3,"Stephen Carr","Doug Patterson","Conservative"
"271.1","Bromley",2014,"Conservative",51,"Stephen Carr","Doug Patterson","Conservative"
"271.2","Bromley",2014,"Labour Party",7,"Stephen Carr","Doug Patterson","Conservative"
"271.3","Bromley",2014,"UK Independence Party",2,"Stephen Carr","Doug Patterson","Conservative"
"272.1","Bromley",2015,"Conservative",51,"Stephen Carr","Doug Patterson","Conservative"
"272.2","Bromley",2015,"Labour Party",7,"Stephen Carr","Doug Patterson","Conservative"
"272.3","Bromley",2015,"UK Independence Party",2,"Stephen Carr","Doug Patterson","Conservative"
"273.1","Bromley",2016,"Conservative",51,"Stephen Carr","Doug Patterson","Conservative"
"273.2","Bromley",2016,"Labour Party",7,"Stephen Carr","Doug Patterson","Conservative"
"273.3","Bromley",2016,"UK Independence Party",2,"Stephen Carr","Doug Patterson","Conservative"
"274.1","Bromley",2017,"Conservative",51,"Stephen Carr","Doug Patterson","Conservative"
"274.2","Bromley",2017,"Labour Party",7,"Stephen Carr","Doug Patterson","Conservative"
"274.3","Bromley",2017,"UK Independence Party",2,"Stephen Carr","Doug Patterson","Conservative"
"275.1","Bromley",2018,"Conservative",50,"Colin Smith","Ade Adetosoye","Conservative"
"275.2","Bromley",2018,"Labour Party",8,"Colin Smith","Ade Adetosoye","Conservative"
"275.3","Bromley",2018,"Independent",2,"Colin Smith","Ade Adetosoye","Conservative"
"276.1","Camden",1964,"Labour Party",34,"C J Ratchford","Brian Wilson","Labour"
"276.2","Camden",1964,"Conservative",26,"C J Ratchford","Brian Wilson","Labour"
"277.1","Camden",1965,"Labour Party",34,"C J Ratchford","Brian Wilson","Labour"
"277.2","Camden",1965,"Conservative",26,"C J Ratchford","Brian Wilson","Labour"
"278.1","Camden",1966,"Labour Party",34,"C J Ratchford","Brian Wilson","Labour"
"278.2","Camden",1966,"Conservative",26,"C J Ratchford","Brian Wilson","Labour"
"279.1","Camden",1967,"Labour Party",34,"C J Ratchford","Brian Wilson","Labour"
"279.2","Camden",1967,"Conservative",26,"C J Ratchford","Brian Wilson","Labour"
"280.1","Camden",1968,"Conservative",42,"Geoffrey Finsberg","Brian Wilson","Conservative"
"280.2","Camden",1968,"Labour Party",18,"Geoffrey Finsberg","Brian Wilson","Conservative"
"281.1","Camden",1969,"Conservative",42,"Geoffrey Finsberg","Brian Wilson","Conservative"
"281.2","Camden",1969,"Labour Party",18,"Geoffrey Finsberg","Brian Wilson","Conservative"
"282.1","Camden",1970,"Conservative",42,"Martin Morton","Brian Wilson","Conservative"
"282.2","Camden",1970,"Labour Party",18,"Martin Morton","Brian Wilson","Conservative"
"283.1","Camden",1971,"Labour Party",49,"Millie Miller","Brian Wilson","Labour"
"283.2","Camden",1971,"Conservative",11,"Millie Miller","Brian Wilson","Labour"
"284.1","Camden",1972,"Labour Party",49,"Millie Miller","Brian Wilson","Labour"
"284.2","Camden",1972,"Conservative",11,"Millie Miller","Brian Wilson","Labour"
"285.1","Camden",1973,"Labour Party",49,"Frank Dobson","Brian Wilson","Labour"
"285.2","Camden",1973,"Conservative",11,"Frank Dobson","Brian Wilson","Labour"
"286.1","Camden",1974,"Labour Party",48,"Frank Dobson","Brian Wilson","Labour"
"286.2","Camden",1974,"Conservative",12,"Frank Dobson","Brian Wilson","Labour"
"287.1","Camden",1975,"Labour Party",48,"Roy Shaw","Brian Wilson","Labour"
"287.2","Camden",1975,"Conservative",12,"Roy Shaw","Brian Wilson","Labour"
"288.1","Camden",1976,"Labour Party",48,"Roy Shaw","Brian Wilson","Labour"
"288.2","Camden",1976,"Conservative",12,"Roy Shaw","Brian Wilson","Labour"
"289.1","Camden",1977,"Labour Party",48,"Roy Shaw","Brian Wilson","Labour"
"289.2","Camden",1977,"Conservative",12,"Roy Shaw","Brian Wilson","Labour"
"290.1","Camden",1978,"Labour Party",33,"Roy Shaw","Frank Nickson","Labour"
"290.2","Camden",1978,"Conservative",26,"Roy Shaw","Frank Nickson","Labour"
"291.1","Camden",1979,"Labour Party",33,"Roy Shaw","Frank Nickson","Labour"
"291.2","Camden",1979,"Conservative",26,"Roy Shaw","Frank Nickson","Labour"
"292.1","Camden",1980,"Labour Party",33,"Roy Shaw","Frank Nickson","Labour"
"292.2","Camden",1980,"Conservative",26,"Roy Shaw","Frank Nickson","Labour"
"293.1","Camden",1981,"Labour Party",33,"Roy Shaw","Frank Nickson","Labour"
"293.2","Camden",1981,"Conservative",26,"Roy Shaw","Frank Nickson","Labour"
"294.1","Camden",1982,"Labour Party",33,"Phil Turner","Frank Nickson","Labour"
"294.2","Camden",1982,"Conservative",26,"Phil Turner","Frank Nickson","Labour"
"295.1","Camden",1983,"Labour Party",33,"Phil Turner","Frank Nickson","Labour"
"295.2","Camden",1983,"Conservative",26,"Phil Turner","Frank Nickson","Labour"
"296.1","Camden",1984,"Labour Party",33,"Phil Turner","Frank Nickson","Labour"
"296.2","Camden",1984,"Conservative",26,"Phil Turner","Frank Nickson","Labour"
"297.1","Camden",1985,"Labour Party",33,"Phil Turner","Frank Nickson","Labour"
"297.2","Camden",1985,"Conservative",26,"Phil Turner","Frank Nickson","Labour"
"298.1","Camden",1986,"Labour Party",44,"Anthony Dykes","Frank Nickson","Labour"
"298.2","Camden",1986,"Conservative",13,"Anthony Dykes","Frank Nickson","Labour"
"298.3","Camden",1986,"Liberal Democrats",2,"Anthony Dykes","Frank Nickson","Labour"
"299.1","Camden",1987,"Labour Party",44,"Anthony Dykes","Frank Nickson","Labour"
"299.2","Camden",1987,"Conservative",13,"Anthony Dykes","Frank Nickson","Labour"
"299.3","Camden",1987,"Liberal Democrats",2,"Anthony Dykes","Frank Nickson","Labour"
"300.1","Camden",1988,"Labour Party",44,"Anthony Dykes","Frank Nickson","Labour"
"300.2","Camden",1988,"Conservative",13,"Anthony Dykes","Frank Nickson","Labour"
"300.3","Camden",1988,"Liberal Democrats",2,"Anthony Dykes","Frank Nickson","Labour"
"301.1","Camden",1989,"Labour Party",44,"Anthony Dykes","Frank Nickson","Labour"
"301.2","Camden",1989,"Conservative",13,"Anthony Dykes","Frank Nickson","Labour"
"301.3","Camden",1989,"Liberal Democrats",2,"Anthony Dykes","Frank Nickson","Labour"
"302.1","Camden",1990,"Labour Party",42,"Julie Fitzgerald","Jeremy Smith","Labour"
"302.2","Camden",1990,"Conservative",15,"Julie Fitzgerald","Jeremy Smith","Labour"
"302.3","Camden",1990,"Liberal Democrats",2,"Julie Fitzgerald","Jeremy Smith","Labour"
"303.1","Camden",1991,"Labour Party",42,"Julie Fitzgerald","Jeremy Smith","Labour"
"303.2","Camden",1991,"Conservative",15,"Julie Fitzgerald","Jeremy Smith","Labour"
"303.3","Camden",1991,"Liberal Democrats",2,"Julie Fitzgerald","Jeremy Smith","Labour"
"304.1","Camden",1992,"Labour Party",42,"Julie Fitzgerald","Jeremy Smith","Labour"
"304.2","Camden",1992,"Conservative",15,"Julie Fitzgerald","Jeremy Smith","Labour"
"304.3","Camden",1992,"Liberal Democrats",2,"Julie Fitzgerald","Jeremy Smith","Labour"
"305.1","Camden",1993,"Labour Party",42,"Richard Arthur","Jeremy Smith","Labour"
"305.2","Camden",1993,"Conservative",15,"Richard Arthur","Jeremy Smith","Labour"
"305.3","Camden",1993,"Liberal Democrats",2,"Richard Arthur","Jeremy Smith","Labour"
"306.1","Camden",1994,"Labour Party",47,"Richard Arthur","Jeremy Smith","Labour"
"306.2","Camden",1994,"Conservative",7,"Richard Arthur","Jeremy Smith","Labour"
"306.3","Camden",1994,"Liberal Democrats",5,"Richard Arthur","Jeremy Smith","Labour"
"307.1","Camden",1995,"Labour Party",47,"Richard Arthur","Jeremy Smith","Labour"
"307.2","Camden",1995,"Conservative",7,"Richard Arthur","Jeremy Smith","Labour"
"307.3","Camden",1995,"Liberal Democrats",5,"Richard Arthur","Jeremy Smith","Labour"
"308.1","Camden",1996,"Labour Party",48,"Richard Arthur","Steve Bundred","Labour"
"308.2","Camden",1996,"Conservative",7,"Richard Arthur","Steve Bundred","Labour"
"308.3","Camden",1996,"Liberal Democrats",4,"Richard Arthur","Steve Bundred","Labour"
"309.1","Camden",1997,"Labour Party",48,"Richard Arthur","Steve Bundred","Labour"
"309.2","Camden",1997,"Conservative",7,"Richard Arthur","Steve Bundred","Labour"
"309.3","Camden",1997,"Liberal Democrats",4,"Richard Arthur","Steve Bundred","Labour"
"310.1","Camden",1998,"Labour Party",43,"Richard Arthur","Steve Bundred","Labour"
"310.2","Camden",1998,"Conservative",10,"Richard Arthur","Steve Bundred","Labour"
"310.3","Camden",1998,"Liberal Democrats",6,"Richard Arthur","Steve Bundred","Labour"
"311.1","Camden",1999,"Labour Party",42,"Richard Arthur","Steve Bundred","Labour"
"311.2","Camden",1999,"Conservative",11,"Richard Arthur","Steve Bundred","Labour"
"311.3","Camden",1999,"Liberal Democrats",6,"Richard Arthur","Steve Bundred","Labour"
"312.1","Camden",2000,"Labour Party",41,"Jane Roberts","Steve Bundred","Labour"
"312.2","Camden",2000,"Conservative",10,"Jane Roberts","Steve Bundred","Labour"
"312.3","Camden",2000,"Liberal Democrats",6,"Jane Roberts","Steve Bundred","Labour"
"312.4","Camden",2000,"Vacancies",2,"Jane Roberts","Steve Bundred","Labour"
"313.1","Camden",2001,"Labour Party",42,"Jane Roberts","Steve Bundred","Labour"
"313.2","Camden",2001,"Conservative",11,"Jane Roberts","Steve Bundred","Labour"
"313.3","Camden",2001,"Liberal Democrats",6,"Jane Roberts","Steve Bundred","Labour"
"314.1","Camden",2002,"Labour Party",35,"Jane Roberts","Steve Bundred","Labour"
"314.2","Camden",2002,"Conservative",11,"Jane Roberts","Steve Bundred","Labour"
"314.3","Camden",2002,"Liberal Democrats",8,"Jane Roberts","Steve Bundred","Labour"
"315.1","Camden",2003,"Labour Party",35,"Jane Roberts","Moira Gibb","Labour"
"315.2","Camden",2003,"Conservative",11,"Jane Roberts","Moira Gibb","Labour"
"315.3","Camden",2003,"Liberal Democrats",8,"Jane Roberts","Moira Gibb","Labour"
"316.1","Camden",2004,"Labour Party",35,"Jane Roberts","Moira Gibb","Labour"
"316.2","Camden",2004,"Conservative",11,"Jane Roberts","Moira Gibb","Labour"
"316.3","Camden",2004,"Liberal Democrats",8,"Jane Roberts","Moira Gibb","Labour"
"317.1","Camden",2005,"Labour Party",36,"Jane Roberts","Moira Gibb","Labour"
"317.2","Camden",2005,"Conservative",11,"Jane Roberts","Moira Gibb","Labour"
